sar_id,customer_id,filing_date,suspicious_activity_type,amount_involved,narrative,status
SAR-0001,CUST-000913,2026-03-16,Rapid movement of funds,252442.94,"Suspicious activity detected: Rapid movement of funds. Investigation revealed transactions totaling $252,442.94. Enhanced due diligence initiated.",closed
SAR-0002,CUST-000840,2025-04-16,Trade-based money laundering,96069.44,"Alert generated for trade-based money laundering. Review of account activity shows $96,069.44 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0003,CUST-000245,2026-02-09,Round dollar amounts,240334.28,"Customer CUST-000245 engaged in round dollar amounts. Multiple transactions totaling $240,334.28 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0004,CUST-001629,2025-04-30,Trade-based money laundering,425324.62,"Alert generated for trade-based money laundering. Review of account activity shows $425,324.62 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0005,CUST-002279,2026-03-25,Large cash deposits,701158.0,"Series of transactions indicative of large cash deposits. Total amount: $701,158.00. Customer unable to provide satisfactory explanation.",under_review
SAR-0006,CUST-001274,2025-12-08,High-risk jurisdiction transfer,111188.17,"Alert generated for high-risk jurisdiction transfer. Review of account activity shows $111,188.17 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0007,CUST-002941,2025-10-03,Currency exchange patterns,271875.66,"Customer CUST-002941 engaged in currency exchange patterns. Multiple transactions totaling $271,875.66 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0008,CUST-003764,2025-06-27,Unusual wire transfer pattern,973384.61,"Alert generated for unusual wire transfer pattern. Review of account activity shows $973,384.61 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0009,CUST-004523,2025-10-29,Currency exchange patterns,886597.23,"Series of transactions indicative of currency exchange patterns. Total amount: $886,597.23. Customer unable to provide satisfactory explanation.",closed
SAR-0010,CUST-001576,2025-04-02,Unusual wire transfer pattern,55366.14,"Suspicious activity detected: Unusual wire transfer pattern. Investigation revealed transactions totaling $55,366.14. Enhanced due diligence initiated.",under_review
SAR-0011,CUST-000654,2025-11-29,Unusual wire transfer pattern,386324.96,"Alert generated for unusual wire transfer pattern. Review of account activity shows $386,324.96 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0012,CUST-002989,2026-01-04,High-risk jurisdiction transfer,361717.99,"Series of transactions indicative of high-risk jurisdiction transfer. Total amount: $361,717.99. Customer unable to provide satisfactory explanation.",closed
SAR-0013,CUST-000585,2025-05-21,Large cash deposits,538798.48,"Suspicious activity detected: Large cash deposits. Investigation revealed transactions totaling $538,798.48. Enhanced due diligence initiated.",filed
SAR-0014,CUST-003787,2025-09-15,Rapid movement of funds,989628.12,"Suspicious activity detected: Rapid movement of funds. Investigation revealed transactions totaling $989,628.12. Enhanced due diligence initiated.",closed
SAR-0015,CUST-002657,2026-02-28,Round dollar amounts,823584.57,"Series of transactions indicative of round dollar amounts. Total amount: $823,584.57. Customer unable to provide satisfactory explanation.",under_review
SAR-0016,CUST-002194,2026-02-23,Round dollar amounts,914004.76,"Series of transactions indicative of round dollar amounts. Total amount: $914,004.76. Customer unable to provide satisfactory explanation.",filed
SAR-0017,CUST-004090,2025-09-07,Shell company indicators,151442.87,"Suspicious activity detected: Shell company indicators. Investigation revealed transactions totaling $151,442.87. Enhanced due diligence initiated.",filed
SAR-0018,CUST-004599,2025-06-26,Rapid movement of funds,749543.67,"Alert generated for rapid movement of funds. Review of account activity shows $749,543.67 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0019,CUST-003272,2025-09-24,Round dollar amounts,997352.52,"Suspicious activity detected: Round dollar amounts. Investigation revealed transactions totaling $997,352.52. Enhanced due diligence initiated.",closed
SAR-0020,CUST-004043,2026-02-10,Structuring (smurfing),862491.88,"Suspicious activity detected: Structuring (smurfing). Investigation revealed transactions totaling $862,491.88. Enhanced due diligence initiated.",closed
SAR-0021,CUST-001311,2025-04-14,Inconsistent with customer profile,600444.94,"Alert generated for inconsistent with customer profile. Review of account activity shows $600,444.94 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0022,CUST-004882,2025-08-01,Trade-based money laundering,258899.98,"Customer CUST-004882 engaged in trade-based money laundering. Multiple transactions totaling $258,899.98 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0023,CUST-000939,2025-04-13,Trade-based money laundering,753369.02,"Series of transactions indicative of trade-based money laundering. Total amount: $753,369.02. Customer unable to provide satisfactory explanation.",filed
SAR-0024,CUST-002405,2025-08-18,Large cash deposits,459186.47,"Series of transactions indicative of large cash deposits. Total amount: $459,186.47. Customer unable to provide satisfactory explanation.",closed
SAR-0025,CUST-001464,2025-07-12,Unusual wire transfer pattern,871813.38,"Series of transactions indicative of unusual wire transfer pattern. Total amount: $871,813.38. Customer unable to provide satisfactory explanation.",closed
SAR-0026,CUST-004159,2025-05-21,Round dollar amounts,161310.88,"Suspicious activity detected: Round dollar amounts. Investigation revealed transactions totaling $161,310.88. Enhanced due diligence initiated.",closed
SAR-0027,CUST-004345,2026-03-28,Currency exchange patterns,330914.5,"Customer CUST-004345 engaged in currency exchange patterns. Multiple transactions totaling $330,914.50 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0028,CUST-002974,2025-10-22,Round dollar amounts,67345.91,"Customer CUST-002974 engaged in round dollar amounts. Multiple transactions totaling $67,345.91 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0029,CUST-003982,2026-02-21,Trade-based money laundering,768176.09,"Suspicious activity detected: Trade-based money laundering. Investigation revealed transactions totaling $768,176.09. Enhanced due diligence initiated.",closed
SAR-0030,CUST-003894,2025-06-20,Large cash deposits,272406.06,"Alert generated for large cash deposits. Review of account activity shows $272,406.06 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0031,CUST-004418,2025-04-09,Round dollar amounts,715819.48,"Alert generated for round dollar amounts. Review of account activity shows $715,819.48 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0032,CUST-003060,2025-08-16,Trade-based money laundering,456971.28,"Suspicious activity detected: Trade-based money laundering. Investigation revealed transactions totaling $456,971.28. Enhanced due diligence initiated.",filed
SAR-0033,CUST-000525,2025-10-06,Structuring (smurfing),592425.63,"Suspicious activity detected: Structuring (smurfing). Investigation revealed transactions totaling $592,425.63. Enhanced due diligence initiated.",closed
SAR-0034,CUST-001805,2026-03-25,Unusual wire transfer pattern,710762.54,"Customer CUST-001805 engaged in unusual wire transfer pattern. Multiple transactions totaling $710,762.54 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0035,CUST-000553,2026-03-12,High-risk jurisdiction transfer,80148.78,"Suspicious activity detected: High-risk jurisdiction transfer. Investigation revealed transactions totaling $80,148.78. Enhanced due diligence initiated.",under_review
SAR-0036,CUST-003977,2025-12-09,Trade-based money laundering,140988.73,"Alert generated for trade-based money laundering. Review of account activity shows $140,988.73 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0037,CUST-003875,2025-09-01,Round dollar amounts,103382.54,"Alert generated for round dollar amounts. Review of account activity shows $103,382.54 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0038,CUST-003470,2025-08-30,Shell company indicators,865198.38,"Customer CUST-003470 engaged in shell company indicators. Multiple transactions totaling $865,198.38 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0039,CUST-000807,2026-02-25,Inconsistent with customer profile,730931.45,"Customer CUST-000807 engaged in inconsistent with customer profile. Multiple transactions totaling $730,931.45 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0040,CUST-001570,2025-12-21,Trade-based money laundering,454127.41,"Alert generated for trade-based money laundering. Review of account activity shows $454,127.41 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0041,CUST-002282,2025-08-04,Round dollar amounts,875741.09,"Customer CUST-002282 engaged in round dollar amounts. Multiple transactions totaling $875,741.09 observed over 30-day period. Pattern inconsistent with known business activity.",under_review
SAR-0042,CUST-004509,2026-02-06,Structuring (smurfing),655623.45,"Customer CUST-004509 engaged in structuring (smurfing). Multiple transactions totaling $655,623.45 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0043,CUST-001937,2026-01-02,Inconsistent with customer profile,490784.71,"Suspicious activity detected: Inconsistent with customer profile. Investigation revealed transactions totaling $490,784.71. Enhanced due diligence initiated.",under_review
SAR-0044,CUST-000481,2026-01-03,Inconsistent with customer profile,12133.82,"Alert generated for inconsistent with customer profile. Review of account activity shows $12,133.82 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0045,CUST-003728,2025-11-02,Inconsistent with customer profile,699625.59,"Alert generated for inconsistent with customer profile. Review of account activity shows $699,625.59 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0046,CUST-001556,2025-10-28,Round dollar amounts,969022.27,"Customer CUST-001556 engaged in round dollar amounts. Multiple transactions totaling $969,022.27 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0047,CUST-002570,2026-02-27,Structuring (smurfing),588335.82,"Suspicious activity detected: Structuring (smurfing). Investigation revealed transactions totaling $588,335.82. Enhanced due diligence initiated.",filed
SAR-0048,CUST-004161,2026-02-15,Large cash deposits,77836.12,"Customer CUST-004161 engaged in large cash deposits. Multiple transactions totaling $77,836.12 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0049,CUST-001927,2025-09-03,Unusual wire transfer pattern,942180.17,"Suspicious activity detected: Unusual wire transfer pattern. Investigation revealed transactions totaling $942,180.17. Enhanced due diligence initiated.",closed
SAR-0050,CUST-004871,2026-03-08,Currency exchange patterns,91163.57,"Series of transactions indicative of currency exchange patterns. Total amount: $91,163.57. Customer unable to provide satisfactory explanation.",under_review
SAR-0051,CUST-001674,2025-04-20,High-risk jurisdiction transfer,246299.09,"Alert generated for high-risk jurisdiction transfer. Review of account activity shows $246,299.09 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0052,CUST-002458,2025-08-06,High-risk jurisdiction transfer,929728.15,"Customer CUST-002458 engaged in high-risk jurisdiction transfer. Multiple transactions totaling $929,728.15 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0053,CUST-003755,2025-05-14,Currency exchange patterns,996135.48,"Customer CUST-003755 engaged in currency exchange patterns. Multiple transactions totaling $996,135.48 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0054,CUST-001747,2025-07-12,Rapid movement of funds,141132.0,"Series of transactions indicative of rapid movement of funds. Total amount: $141,132.00. Customer unable to provide satisfactory explanation.",filed
SAR-0055,CUST-002002,2025-09-20,Rapid movement of funds,166169.36,"Series of transactions indicative of rapid movement of funds. Total amount: $166,169.36. Customer unable to provide satisfactory explanation.",closed
SAR-0056,CUST-004334,2026-03-24,Trade-based money laundering,306384.96,"Customer CUST-004334 engaged in trade-based money laundering. Multiple transactions totaling $306,384.96 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0057,CUST-002167,2026-01-28,Unusual wire transfer pattern,744992.52,"Suspicious activity detected: Unusual wire transfer pattern. Investigation revealed transactions totaling $744,992.52. Enhanced due diligence initiated.",under_review
SAR-0058,CUST-002309,2025-05-23,Round dollar amounts,720436.07,"Suspicious activity detected: Round dollar amounts. Investigation revealed transactions totaling $720,436.07. Enhanced due diligence initiated.",closed
SAR-0059,CUST-002163,2025-07-13,Shell company indicators,258610.04,"Customer CUST-002163 engaged in shell company indicators. Multiple transactions totaling $258,610.04 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0060,CUST-003470,2025-11-07,Structuring (smurfing),13510.23,"Suspicious activity detected: Structuring (smurfing). Investigation revealed transactions totaling $13,510.23. Enhanced due diligence initiated.",closed
SAR-0061,CUST-002146,2026-01-05,Shell company indicators,556163.62,"Alert generated for shell company indicators. Review of account activity shows $556,163.62 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0062,CUST-000080,2026-01-30,Unusual wire transfer pattern,945600.43,"Suspicious activity detected: Unusual wire transfer pattern. Investigation revealed transactions totaling $945,600.43. Enhanced due diligence initiated.",closed
SAR-0063,CUST-000296,2025-09-20,Currency exchange patterns,556999.85,"Alert generated for currency exchange patterns. Review of account activity shows $556,999.85 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0064,CUST-000343,2025-10-22,High-risk jurisdiction transfer,899991.67,"Customer CUST-000343 engaged in high-risk jurisdiction transfer. Multiple transactions totaling $899,991.67 observed over 30-day period. Pattern inconsistent with known business activity.",under_review
SAR-0065,CUST-001721,2025-04-13,Round dollar amounts,670264.08,"Series of transactions indicative of round dollar amounts. Total amount: $670,264.08. Customer unable to provide satisfactory explanation.",closed
SAR-0066,CUST-003330,2025-05-15,Large cash deposits,926506.18,"Suspicious activity detected: Large cash deposits. Investigation revealed transactions totaling $926,506.18. Enhanced due diligence initiated.",filed
SAR-0067,CUST-001451,2025-08-29,Structuring (smurfing),187567.06,"Series of transactions indicative of structuring (smurfing). Total amount: $187,567.06. Customer unable to provide satisfactory explanation.",under_review
SAR-0068,CUST-002033,2025-11-12,Large cash deposits,789500.76,"Customer CUST-002033 engaged in large cash deposits. Multiple transactions totaling $789,500.76 observed over 30-day period. Pattern inconsistent with known business activity.",under_review
SAR-0069,CUST-000318,2025-07-31,Round dollar amounts,207577.1,"Alert generated for round dollar amounts. Review of account activity shows $207,577.10 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0070,CUST-002501,2025-12-02,Round dollar amounts,33427.79,"Suspicious activity detected: Round dollar amounts. Investigation revealed transactions totaling $33,427.79. Enhanced due diligence initiated.",under_review
SAR-0071,CUST-002690,2025-11-06,Unusual wire transfer pattern,967220.21,"Series of transactions indicative of unusual wire transfer pattern. Total amount: $967,220.21. Customer unable to provide satisfactory explanation.",under_review
SAR-0072,CUST-004174,2025-09-05,Trade-based money laundering,337838.37,"Customer CUST-004174 engaged in trade-based money laundering. Multiple transactions totaling $337,838.37 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0073,CUST-002140,2025-12-27,Currency exchange patterns,962908.97,"Series of transactions indicative of currency exchange patterns. Total amount: $962,908.97. Customer unable to provide satisfactory explanation.",filed
SAR-0074,CUST-000889,2025-05-27,Inconsistent with customer profile,352230.24,"Series of transactions indicative of inconsistent with customer profile. Total amount: $352,230.24. Customer unable to provide satisfactory explanation.",under_review
SAR-0075,CUST-004967,2025-07-10,Unusual wire transfer pattern,391343.48,"Suspicious activity detected: Unusual wire transfer pattern. Investigation revealed transactions totaling $391,343.48. Enhanced due diligence initiated.",under_review
SAR-0076,CUST-000364,2025-03-31,Inconsistent with customer profile,11674.37,"Suspicious activity detected: Inconsistent with customer profile. Investigation revealed transactions totaling $11,674.37. Enhanced due diligence initiated.",under_review
SAR-0077,CUST-003534,2026-02-21,High-risk jurisdiction transfer,626923.86,"Customer CUST-003534 engaged in high-risk jurisdiction transfer. Multiple transactions totaling $626,923.86 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0078,CUST-002461,2025-07-12,Rapid movement of funds,670223.98,"Series of transactions indicative of rapid movement of funds. Total amount: $670,223.98. Customer unable to provide satisfactory explanation.",under_review
SAR-0079,CUST-002423,2025-06-18,Large cash deposits,199921.69,"Alert generated for large cash deposits. Review of account activity shows $199,921.69 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0080,CUST-001426,2025-05-17,Currency exchange patterns,307940.38,"Customer CUST-001426 engaged in currency exchange patterns. Multiple transactions totaling $307,940.38 observed over 30-day period. Pattern inconsistent with known business activity.",under_review
SAR-0081,CUST-002351,2025-12-11,Inconsistent with customer profile,787901.24,"Series of transactions indicative of inconsistent with customer profile. Total amount: $787,901.24. Customer unable to provide satisfactory explanation.",under_review
SAR-0082,CUST-003620,2025-08-14,Round dollar amounts,516062.26,"Suspicious activity detected: Round dollar amounts. Investigation revealed transactions totaling $516,062.26. Enhanced due diligence initiated.",closed
SAR-0083,CUST-000695,2025-11-03,Trade-based money laundering,667215.3,"Series of transactions indicative of trade-based money laundering. Total amount: $667,215.30. Customer unable to provide satisfactory explanation.",filed
SAR-0084,CUST-001925,2025-04-18,Rapid movement of funds,232394.26,"Suspicious activity detected: Rapid movement of funds. Investigation revealed transactions totaling $232,394.26. Enhanced due diligence initiated.",filed
SAR-0085,CUST-000201,2026-03-05,Round dollar amounts,984096.66,"Customer CUST-000201 engaged in round dollar amounts. Multiple transactions totaling $984,096.66 observed over 30-day period. Pattern inconsistent with known business activity.",under_review
SAR-0086,CUST-003396,2025-05-10,Currency exchange patterns,202490.88,"Alert generated for currency exchange patterns. Review of account activity shows $202,490.88 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0087,CUST-003274,2025-11-24,Large cash deposits,659497.43,"Customer CUST-003274 engaged in large cash deposits. Multiple transactions totaling $659,497.43 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0088,CUST-003483,2025-12-06,Large cash deposits,806068.76,"Alert generated for large cash deposits. Review of account activity shows $806,068.76 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0089,CUST-004567,2025-11-21,Unusual wire transfer pattern,461897.21,"Alert generated for unusual wire transfer pattern. Review of account activity shows $461,897.21 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0090,CUST-004352,2025-06-15,Currency exchange patterns,324124.98,"Alert generated for currency exchange patterns. Review of account activity shows $324,124.98 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0091,CUST-004136,2025-08-22,Trade-based money laundering,451454.48,"Suspicious activity detected: Trade-based money laundering. Investigation revealed transactions totaling $451,454.48. Enhanced due diligence initiated.",closed
SAR-0092,CUST-003889,2025-08-10,Rapid movement of funds,754259.02,"Series of transactions indicative of rapid movement of funds. Total amount: $754,259.02. Customer unable to provide satisfactory explanation.",closed
SAR-0093,CUST-003970,2025-05-12,Round dollar amounts,281851.47,"Customer CUST-003970 engaged in round dollar amounts. Multiple transactions totaling $281,851.47 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0094,CUST-002341,2025-11-28,Rapid movement of funds,342489.06,"Customer CUST-002341 engaged in rapid movement of funds. Multiple transactions totaling $342,489.06 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0095,CUST-001236,2025-11-30,Inconsistent with customer profile,697010.31,"Suspicious activity detected: Inconsistent with customer profile. Investigation revealed transactions totaling $697,010.31. Enhanced due diligence initiated.",filed
SAR-0096,CUST-003399,2025-09-01,High-risk jurisdiction transfer,547185.03,"Alert generated for high-risk jurisdiction transfer. Review of account activity shows $547,185.03 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0097,CUST-001695,2025-08-25,Inconsistent with customer profile,905790.09,"Customer CUST-001695 engaged in inconsistent with customer profile. Multiple transactions totaling $905,790.09 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0098,CUST-003117,2025-07-27,Structuring (smurfing),943314.24,"Series of transactions indicative of structuring (smurfing). Total amount: $943,314.24. Customer unable to provide satisfactory explanation.",under_review
SAR-0099,CUST-003433,2025-06-26,Trade-based money laundering,801869.49,"Suspicious activity detected: Trade-based money laundering. Investigation revealed transactions totaling $801,869.49. Enhanced due diligence initiated.",under_review
SAR-0100,CUST-001798,2025-11-09,Inconsistent with customer profile,490785.57,"Alert generated for inconsistent with customer profile. Review of account activity shows $490,785.57 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0101,CUST-003313,2026-01-03,Shell company indicators,920346.2,"Customer CUST-003313 engaged in shell company indicators. Multiple transactions totaling $920,346.20 observed over 30-day period. Pattern inconsistent with known business activity.",under_review
SAR-0102,CUST-004849,2025-06-13,Structuring (smurfing),93107.99,"Alert generated for structuring (smurfing). Review of account activity shows $93,107.99 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0103,CUST-003783,2025-12-25,Structuring (smurfing),267554.75,"Series of transactions indicative of structuring (smurfing). Total amount: $267,554.75. Customer unable to provide satisfactory explanation.",filed
SAR-0104,CUST-003725,2025-10-12,High-risk jurisdiction transfer,763617.41,"Alert generated for high-risk jurisdiction transfer. Review of account activity shows $763,617.41 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0105,CUST-003454,2025-11-19,Unusual wire transfer pattern,475603.77,"Customer CUST-003454 engaged in unusual wire transfer pattern. Multiple transactions totaling $475,603.77 observed over 30-day period. Pattern inconsistent with known business activity.",under_review
SAR-0106,CUST-001837,2025-04-30,Unusual wire transfer pattern,783420.72,"Customer CUST-001837 engaged in unusual wire transfer pattern. Multiple transactions totaling $783,420.72 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0107,CUST-002026,2025-12-16,Structuring (smurfing),625122.3,"Suspicious activity detected: Structuring (smurfing). Investigation revealed transactions totaling $625,122.30. Enhanced due diligence initiated.",filed
SAR-0108,CUST-003880,2025-04-20,Unusual wire transfer pattern,568329.89,"Suspicious activity detected: Unusual wire transfer pattern. Investigation revealed transactions totaling $568,329.89. Enhanced due diligence initiated.",under_review
SAR-0109,CUST-002100,2025-09-21,Large cash deposits,609833.77,"Customer CUST-002100 engaged in large cash deposits. Multiple transactions totaling $609,833.77 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0110,CUST-002549,2026-02-01,Currency exchange patterns,35421.64,"Series of transactions indicative of currency exchange patterns. Total amount: $35,421.64. Customer unable to provide satisfactory explanation.",closed
SAR-0111,CUST-003075,2025-09-06,Round dollar amounts,85236.51,"Suspicious activity detected: Round dollar amounts. Investigation revealed transactions totaling $85,236.51. Enhanced due diligence initiated.",filed
SAR-0112,CUST-002471,2025-04-12,Currency exchange patterns,807472.68,"Customer CUST-002471 engaged in currency exchange patterns. Multiple transactions totaling $807,472.68 observed over 30-day period. Pattern inconsistent with known business activity.",under_review
SAR-0113,CUST-004365,2025-08-21,High-risk jurisdiction transfer,78267.17,"Series of transactions indicative of high-risk jurisdiction transfer. Total amount: $78,267.17. Customer unable to provide satisfactory explanation.",filed
SAR-0114,CUST-003442,2025-07-21,Unusual wire transfer pattern,439188.17,"Series of transactions indicative of unusual wire transfer pattern. Total amount: $439,188.17. Customer unable to provide satisfactory explanation.",closed
SAR-0115,CUST-003767,2025-03-31,Large cash deposits,441132.27,"Series of transactions indicative of large cash deposits. Total amount: $441,132.27. Customer unable to provide satisfactory explanation.",closed
SAR-0116,CUST-004409,2025-07-24,Shell company indicators,441218.75,"Series of transactions indicative of shell company indicators. Total amount: $441,218.75. Customer unable to provide satisfactory explanation.",under_review
SAR-0117,CUST-002012,2026-02-12,Rapid movement of funds,882814.87,"Suspicious activity detected: Rapid movement of funds. Investigation revealed transactions totaling $882,814.87. Enhanced due diligence initiated.",under_review
SAR-0118,CUST-004669,2025-05-20,Inconsistent with customer profile,343032.65,"Alert generated for inconsistent with customer profile. Review of account activity shows $343,032.65 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0119,CUST-001490,2025-07-22,Round dollar amounts,361276.72,"Series of transactions indicative of round dollar amounts. Total amount: $361,276.72. Customer unable to provide satisfactory explanation.",under_review
SAR-0120,CUST-002291,2025-05-27,Rapid movement of funds,560233.12,"Suspicious activity detected: Rapid movement of funds. Investigation revealed transactions totaling $560,233.12. Enhanced due diligence initiated.",filed
SAR-0121,CUST-001978,2025-09-01,Shell company indicators,559624.45,"Suspicious activity detected: Shell company indicators. Investigation revealed transactions totaling $559,624.45. Enhanced due diligence initiated.",closed
SAR-0122,CUST-003901,2025-05-02,Shell company indicators,453692.8,"Customer CUST-003901 engaged in shell company indicators. Multiple transactions totaling $453,692.80 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0123,CUST-002411,2025-12-05,Inconsistent with customer profile,694869.28,"Series of transactions indicative of inconsistent with customer profile. Total amount: $694,869.28. Customer unable to provide satisfactory explanation.",closed
SAR-0124,CUST-004765,2025-09-21,Shell company indicators,557938.23,"Series of transactions indicative of shell company indicators. Total amount: $557,938.23. Customer unable to provide satisfactory explanation.",under_review
